threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,fpr,fnr
0.05,0.7926628490603853,0.30190869012268273,0.10728961635415588,0.9967917869746551,0.19372739743110112,1008,25852,10,3107,0.9624720774385703,0.003208213025344883
0.06,0.7926628490603853,0.30190869012268273,0.1099801390268123,0.9948668591594482,0.1980647015616517,1765,25095,16,3101,0.934288905435592,0.005133140840551813
0.07,0.7926628490603853,0.30190869012268273,0.11278633599184239,0.9935835739493102,0.20257718472004185,2498,24362,20,3097,0.9069992553983619,0.006416426050689766
0.08,0.7926628490603853,0.30190869012268273,0.1160573530515727,0.9919794674366378,0.20780268154171846,3310,23550,25,3092,0.8767684288905435,0.008020532563362208
0.09,0.7926628490603853,0.30190869012268273,0.1189998456551937,0.9894128970163619,0.2124479041091172,4028,22832,33,3084,0.8500372300819061,0.010587102983638113
0.1,0.7926628490603853,0.30190869012268273,0.12176391417939988,0.986846326596086,0.21678001339018288,4674,22186,41,3076,0.8259865971705138,0.01315367340391402
0.11,0.7926628490603853,0.30190869012268273,0.12434183880113406,0.984921398780879,0.22080771028877622,5240,21620,47,3070,0.8049143708116158,0.01507860121912095
0.12,0.7926628490603853,0.30190869012268273,0.12664984070503538,0.9820340070580686,0.2243641427838452,5752,21108,56,3061,0.7858525688756516,0.017965992941931345
0.13,0.7926628490603853,0.30190869012268273,0.12894914681534042,0.9794674366377928,0.22789534579927592,6237,20623,64,3053,0.7677959791511542,0.02053256336220725
0.14,0.7926628490603853,0.30190869012268273,0.13108469027311107,0.9762592236124479,0.23113440431430632,6689,20171,74,3043,0.7509679821295607,0.023740776387552134
0.15,0.7926628490603853,0.30190869012268273,0.13339482584442394,0.974334295797241,0.23466233966929378,7130,19730,80,3037,0.7345495160089353,0.025665704202759064
0.16,0.7926628490603853,0.30190869012268273,0.13597415997487775,0.972409367982034,0.23858627204030228,7600,19260,86,3031,0.7170513775130305,0.027590632017965994
0.17,0.7926628490603853,0.30190869012268273,0.13809784592917124,0.9708052614693615,0.24179951256542412,7974,18886,91,3026,0.7031273268801191,0.029194738530638434
0.18,0.7926628490603853,0.30190869012268273,0.14012176418645722,0.9672762271414822,0.24478363237801412,8358,18502,102,3015,0.688830975428146,0.032723772858517804
0.19,0.7926628490603853,0.30190869012268273,0.14227565316168117,0.9643888354186718,0.24796865333058363,8738,18122,111,3006,0.6746835443037975,0.0356111645813282
0.2,0.7926628490603853,0.30190869012268273,0.14399421128798842,0.9576515880654476,0.25034595546609634,9115,17745,132,2985,0.6606478034251675,0.04234841193455245
0.21,0.7926628490603853,0.30190869012268273,0.14616747023516677,0.9531600898299647,0.2534658533464147,9505,17355,146,2971,0.6461280714817572,0.04683991017003529
0.22,0.7926628490603853,0.30190869012268273,0.14825377764435105,0.9505935194096888,0.2565034843959659,9837,17023,154,2963,0.6337676842889054,0.0494064805903112
0.23,0.7926628490603853,0.30190869012268273,0.1502290076335878,0.9470644850818094,0.2593227039135591,10162,16698,165,2952,0.6216679076693968,0.05293551491819057
0.24,0.7926628490603853,0.30190869012268273,0.15237207375181272,0.9438562720564645,0.26238573021181716,10494,16366,175,2942,0.609307520476545,0.05614372794353545
0.25,0.7926628490603853,0.30190869012268273,0.15438966517268654,0.9393647738209817,0.26519337016574585,10823,16037,189,2928,0.5970588235294118,0.06063522617901829
0.26,0.7926628490603853,0.30190869012268273,0.15709368613531247,0.9371190247032403,0.26908018976555664,11187,15673,196,2921,0.5835070737155622,0.0628809752967597
0.27,0.7926628490603853,0.30190869012268273,0.15927165030439314,0.931665062560154,0.2720374707259953,11531,15329,213,2904,0.5706999255398362,0.068334937439846
0.28,0.7926628490603853,0.30190869012268273,0.16162237762237763,0.9268527430221367,0.27524771341463417,11874,14986,228,2889,0.5579300074460164,0.07314725697786333
0.29,0.7926628490603853,0.30190869012268273,0.1633838096322441,0.9207571382739814,0.27752260310399846,12164,14696,247,2870,0.5471332836932241,0.0792428617260186
0.3,0.7926628490603853,0.30190869012268273,0.16559252162805552,0.9149823548283607,0.28043264503441495,12489,14371,265,2852,0.5350335070737156,0.0850176451716394
0.31,0.7926628490603853,0.30190869012268273,0.16812692398768647,0.9111324991979467,0.28387225748413214,12808,14052,277,2840,0.5231571109456441,0.08886750080205326
0.32,0.7926628490603853,0.30190869012268273,0.17009718114323655,0.9040744305421881,0.28632391790286527,13111,13749,299,2818,0.5118763961280715,0.095925569457812
0.33,0.7926628490603853,0.30190869012268273,0.1725456339417859,0.8976580044914982,0.2894532664356282,13442,13418,319,2798,0.49955323901712584,0.10234199550850176
0.34,0.7926628490603853,0.30190869012268273,0.17454043541000064,0.8925248636509464,0.29198152812762385,13703,13157,335,2782,0.4898361876396128,0.10747513634905358
0.35,0.7926628490603853,0.30190869012268273,0.17692897291773121,0.8886750080205326,0.2951046716028339,13974,12886,347,2770,0.479746835443038,0.11132499197946744
0.36,0.7926628490603853,0.30190869012268273,0.17931528247852122,0.8838626884825153,0.2981440398246848,14251,12609,362,2755,0.46943410275502606,0.11613731151748476
0.37,0.7926628490603853,0.30190869012268273,0.18169752471962305,0.8784087263394289,0.3011107445287584,14529,12331,379,2738,0.45908413998510794,0.12159127366057106
0.38,0.7926628490603853,0.30190869012268273,0.1837936636880585,0.8710298363811357,0.30353848733858796,14803,12057,402,2715,0.4488830975428146,0.1289701636188643
0.39,0.7926628490603853,0.30190869012268273,0.1860850358917725,0.8649342316329804,0.3062766259585345,15068,11792,421,2696,0.4390171258376768,0.13506576836701956
0.4,0.7926628490603853,0.30190869012268273,0.18839556716312558,0.8562720564645493,0.3088405461698681,15362,11498,448,2669,0.42807148175725984,0.14372794353545076
0.41,0.7926628490603853,0.30190869012268273,0.19100636205899363,0.847609881296118,0.31175880582925247,15670,11190,475,2642,0.41660461653015635,0.15239011870388194
0.42,0.7926628490603853,0.30190869012268273,0.19319526627218936,0.8379852422200834,0.313998918074172,15952,10908,505,2612,0.4061057334326135,0.16201475777991659
0.43,0.7926628490603853,0.30190869012268273,0.1952770208900999,0.8277189605389798,0.31600220466654416,16228,10632,537,2580,0.3958302308265078,0.17228103946102022
0.44,0.7926628490603853,0.30190869012268273,0.19863597612958228,0.8222649983958935,0.31997503121098625,16520,10340,554,2563,0.3849590469099032,0.17773500160410652
0.45,0.7926628490603853,0.30190869012268273,0.20104895104895104,0.8116778954122553,0.3222724667218648,16806,10054,587,2530,0.37431124348473566,0.18832210458774462
0.46,0.7926628490603853,0.30190869012268273,0.20393180520433968,0.8020532563362207,0.3251821019771072,17101,9759,617,2500,0.3633283693224125,0.19794674366377926
0.47,0.7926628490603853,0.30190869012268273,0.20716863930160329,0.791786974655117,0.32840984697272124,17415,9445,649,2468,0.3516381236038719,0.2082130253448829
0.48,0.7926628490603853,0.30190869012268273,0.21004487400759406,0.7808790503689444,0.3310438626317579,17706,9154,683,2434,0.3408041697691735,0.2191209496310555
0.49,0.7926628490603853,0.30190869012268273,0.21296789072201525,0.7702919473853064,0.33368077270516294,17987,8873,716,2401,0.3303425167535369,0.22970805261469363
0.5,0.7926628490603853,0.30190869012268273,0.21549128729130554,0.7577799165864614,0.3355590282710612,18261,8599,755,2362,0.3201414743112435,0.24222008341353865
0.51,0.7926628490603853,0.30190869012268273,0.21869720292847758,0.7475136349053577,0.3383922736184736,18536,8324,787,2330,0.30990320178704395,0.2524863650946423
0.52,0.7926628490603853,0.30190869012268273,0.22214700193423598,0.7369265319217196,0.3413836664932749,18817,8043,820,2297,0.2994415487714073,0.2630734680782804
0.53,0.7926628490603853,0.30190869012268273,0.22504230118443316,0.725376965030478,0.3435126101488909,19074,7786,856,2261,0.289873417721519,0.27462303496952195
0.54,0.7926628490603853,0.30190869012268273,0.22816526897115974,0.7157523259544434,0.346025591314463,19313,7547,886,2231,0.2809754281459419,0.2842476740455566
0.55,0.7926628490603853,0.30190869012268273,0.23077733305245418,0.7029194738530639,0.34747442708746334,19557,7303,926,2191,0.27189128816083397,0.29708052614693614
0.56,0.7926628490603853,0.30190869012268273,0.23391048676902973,0.6891241578440809,0.3492682926829268,19825,7035,969,2148,0.26191362620997766,0.3108758421559192
0.57,0.7926628490603853,0.30190869012268273,0.238159828190347,0.6759704844401668,0.35222333667669675,20120,6740,1010,2107,0.2509307520476545,0.32402951555983317
0.58,0.7926628490603853,0.30190869012268273,0.24237447207883622,0.6628168110362528,0.35495232368353236,20402,6458,1051,2066,0.24043186895011168,0.3371831889637472
0.59,0.7926628490603853,0.30190869012268273,0.24465500485908648,0.6461341033044594,0.3549211384262931,20642,6218,1103,2014,0.23149664929262845,0.3538658966955406
0.6,0.7926628490603853,0.30190869012268273,0.25038090401218893,0.632659608598011,0.35877376512326026,20956,5904,1145,1972,0.21980640357408787,0.3673403914019891
0.61,0.7926628490603853,0.30190869012268273,0.25516967126193,0.61758100737889,0.36112934996717005,21241,5619,1192,1925,0.2091958302308265,0.38241899262111007
0.62,0.7926628490603853,0.30190869012268273,0.25945421803573904,0.6008982996470965,0.36242260061919507,21514,5346,1244,1873,0.1990320178704393,0.39910170035290343
0.63,0.7926628490603853,0.30190869012268273,0.26691015339663987,0.5861405197305101,0.3667938165027103,21842,5018,1290,1827,0.18682055100521222,0.4138594802694899
0.64,0.7926628490603853,0.30190869012268273,0.2716754088244369,0.5649663137632339,0.3669132201270966,22139,4721,1356,1761,0.17576321667907668,0.43503368623676614
0.65,0.7926628490603853,0.30190869012268273,0.27941415785191215,0.5508501764517164,0.37076225437270566,22432,4428,1400,1717,0.1648548026805659,0.4491498235482836
0.66,0.7926628490603853,0.30190869012268273,0.2852227765353518,0.5319217196021816,0.37133258678611425,22705,4155,1459,1658,0.15469099032017872,0.4680782803978184
0.67,0.7926628490603853,0.30190869012268273,0.29090580365214247,0.5162014757779917,0.372109158186864,22938,3922,1508,1609,0.14601638123603872,0.48379852422200836
0.68,0.7926628490603853,0.30190869012268273,0.2962180840852371,0.49502726981071543,0.370646168628393,23194,3666,1574,1543,0.1364854802680566,0.5049727301892846
0.69,0.7926628490603853,0.30190869012268273,0.3016393442622951,0.47224895733076677,0.36813805176941355,23452,3408,1645,1472,0.1268801191362621,0.5277510426692332
0.7,0.7926628490603853,0.30190869012268273,0.309424885195714,0.45396214308630095,0.3680104031209363,23702,3158,1702,1415,0.11757259865971705,0.5460378569136991
0.71,0.7926628490603853,0.30190869012268273,0.3152351977533349,0.43214629451395575,0.3645466847090663,23934,2926,1770,1347,0.10893521965748325,0.5678537054860443
0.72,0.7926628490603853,0.30190869012268273,0.3203517587939699,0.40904716073147257,0.3593067493307031,24155,2705,1842,1275,0.10070737155621742,0.5909528392685275
0.73,0.7926628490603853,0.30190869012268273,0.3247840172786177,0.3859480269489894,0.35273420319601234,24359,2501,1914,1203,0.09311243484735666,0.6140519730510106
0.74,0.7926628490603853,0.30190869012268273,0.32988165680473375,0.35771575232595443,0.3432353393874096,24595,2265,2002,1115,0.08432613551749814,0.6422842476740456
0.75,0.7926628490603853,0.30190869012268273,0.33787731256085685,0.3339749759384023,0.33591481122942884,24820,2040,2076,1041,0.0759493670886076,0.6660250240615977
0.76,0.7926628490603853,0.30190869012268273,0.349223546406645,0.3102341995508502,0.32857628270472305,25058,1802,2150,967,0.0670886075949367,0.6897658004491498
0.77,0.7926628490603853,0.30190869012268273,0.3568019093078759,0.287776708373436,0.3185935002663825,25243,1617,2220,897,0.06020104244229337,0.7122232916265641
0.78,0.7926628490603853,0.30190869012268273,0.3642413487133984,0.2633942893808149,0.30571588158629676,25427,1433,2296,821,0.05335070737155622,0.7366057106191851
0.79,0.7926628490603853,0.30190869012268273,0.3766749379652605,0.2435033686236766,0.29579111457521434,25604,1256,2358,759,0.046760982874162325,0.7564966313763234
0.8,0.7926628490603853,0.30190869012268273,0.38847262247838615,0.2162335579082451,0.27782357790601814,25799,1061,2443,674,0.03950111690245719,0.783766442091755
0.81,0.7926628490603853,0.30190869012268273,0.4002704530087897,0.18992621110041707,0.257615317667537,25973,887,2525,592,0.03302308265078183,0.8100737888995829
0.82,0.7926628490603853,0.30190869012268273,0.4117647058823529,0.16843118383060635,0.2390710382513661,26110,750,2592,525,0.027922561429635145,0.8315688161693936
0.83,0.7926628490603853,0.30190869012268273,0.4273339749759384,0.1424446583253128,0.2136669874879692,26265,595,2673,444,0.022151898734177215,0.8575553416746872
0.84,0.7926628490603853,0.30190869012268273,0.45376078914919854,0.11806223933269169,0.18737270875763748,26417,443,2749,368,0.016492926284437825,0.8819377606673083
0.85,0.7926628490603853,0.30190869012268273,0.46984126984126984,0.09496310555020854,0.1579930611155591,26526,334,2821,296,0.012434847356664185,0.9050368944497915
0.86,0.7926628490603853,0.30190869012268273,0.4692982456140351,0.06865575874238049,0.11978729359082003,26618,242,2903,214,0.009009679821295608,0.9313442412576195
0.87,0.7926628490603853,0.30190869012268273,0.47318611987381703,0.04812319538017324,0.08736167734420501,26693,167,2967,150,0.0062174236783320925,0.9518768046198267
0.88,0.7926628490603853,0.30190869012268273,0.5120772946859904,0.03400705806865576,0.06377858002406739,26759,101,3011,106,0.0037602382725241998,0.9659929419313442
0.89,0.7926628490603853,0.30190869012268273,0.5,0.017965992941931345,0.03468566119541654,26804,56,3061,56,0.002084884586746091,0.9820340070580686
0.9,0.7926628490603853,0.30190869012268273,0.48148148148148145,0.008341353865896696,0.01639861242510249,26832,28,3091,26,0.0010424422933730455,0.9916586461341033
0.91,0.7926628490603853,0.30190869012268273,0.56,0.004491498235482836,0.008911521323997454,26849,11,3103,14,0.00040953090096798215,0.9955085017645172
0.92,0.7926628490603853,0.30190869012268273,0.5714285714285714,0.0012832852101379532,0.002560819462227913,26857,3,3113,4,0.00011169024571854058,0.998716714789862
0.93,0.7926628490603853,0.30190869012268273,0.6666666666666666,0.0006416426050689766,0.001282051282051282,26859,1,3115,2,3.72300819061802e-05,0.9993583573949311
0.94,0.7926628490603853,0.30190869012268273,0.0,0.0,0.0,26860,0,3117,0,0.0,1.0
0.95,0.7926628490603853,0.30190869012268273,0.0,0.0,0.0,26860,0,3117,0,0.0,1.0
